,PLAYER_ID,POSITIONS,HEIGHT,WEIGHT,SALARY,FIRST_YEAR
84,50416_신동수_2001년,내야수(우투우타),183cm,90kg,2700만원,0
85,50430_홍원표_2001년,투수(우투우타),183cm,86kg,2700만원,20삼성
86,50441_황동재_2001년,투수(우투우타),191cm,97kg,2700만원,20삼성
87,50449_허윤동_2001년,투수(좌투좌타),181cm,90kg,2700만원,20삼성
88,50458_김지찬_2001년,내야수(우투좌타),163cm,64kg,2700만원,20삼성
89,50464_이승민_2000년,투수(좌투좌타),174cm,79kg,2700만원,20삼성
90,50468_살라디노_1989년,내야수(우투우타),183cm,90kg,700000달러,20삼성
91,50500_황성빈_1997년,외야수(우투좌타),175cm,73kg,2700만원,0
92,50506_마차도_1992년,내야수(우투우타),185cm,91kg,300000달러,20롯데
93,50507_엄태호_2001년,외야수(우투좌타),186cm,84kg,2700만원,0
94,50508_이찬우_1997년,포수(우투우타),182cm,87kg,2700만원,0
95,50517_김건우_2001년,외야수(우투좌타),176cm,73kg,2700만원,0
96,50524_샘슨_1991년,투수(우투우타),189cm,95kg,500000달러,20롯데
97,50550_김대환_1974년,(),173cm,72kg,0,20롯데코치
98,50551_김태현_1987년,(),180cm,95kg,0,20롯데코치
99,50552_손재원_1981년,(),185cm,98kg,0,20롯데코치
100,50556_최준용_2001년,투수(우투우타),185cm,85kg,2700만원,20롯데
101,50558_스트레일리_1988년,투수(우투우타),189cm,100kg,500000달러,20롯데
102,50563_박재민_2001년,투수(좌투좌타),186cm,88kg,2700만원,20롯데
103,50573_김민기_1996년,투수(우투우타),177cm,83kg,2700만원,0
104,50574_설재민_1997년,투수(우투우타),174cm,80kg,2700만원,0
105,50576_한지운_2001년,포수(우투우타),186cm,92kg,2700만원,0
106,50584_정도웅_2001년,내야수(우투우타),176cm,85kg,2700만원,20롯데
107,50585_콩거_1988년,(우투양타),188cm,102kg,0,20롯데코치
108,50587_윤윤덕_1990년,(),178cm,78kg,0,20롯데코치
109,50589_롱_1973년,(우투우타),188cm,97kg,0,20롯데코치
110,50590_신학진_2000년,투수(우투우타),185cm,78kg,2700만원,0
111,50592_박명현_2001년,투수(우투우타),185cm,80kg,2700만원,20롯데
112,50593_백어진_1990년,(우투우타),181cm,83kg,0,20롯데코치
113,50594_김현종_2000년,투수(좌투좌타),183cm,80kg,2700만원,0
114,50595_헤르젠버그_1990년,(좌투좌타),180cm,113kg,0,20롯데코치
115,50596_홍민기_2001년,투수(좌투좌타),185cm,85kg,2700만원,20롯데
116,50597_차혜성_1997년,외야수(좌투좌타),175cm,75kg,2700만원,0
117,50600_홍종표_2000년,내야수(우투좌타),178cm,72kg,2700만원,20KIA
118,50604_유지성_2000년,투수(좌투좌타),189cm,94kg,2700만원,20KIA
119,50608_이인한_1998년,외야수(우투우타),183cm,100kg,2700만원,0
120,50609_윌리엄스_1965년,(우투우타),188cm,92kg,0,20KIA감독
121,50613_김양수_2001년,투수(우투우타),184cm,80kg,2700만원,0
122,50614_김연준_1996년,외야수(우투좌타),0cm,0kg,2700만원,0
123,50622_오규석_2001년,투수(우투우타),187cm,97kg,2700만원,0
124,50632_백현종_1999년,포수(우투우타),184cm,94kg,2700만원,0
125,50636_브룩스_1990년,투수(우투우타),193cm,104kg,479000달러,20KIA
126,50637_강민수_2001년,투수(우투우타),176cm,80kg,2700만원,0
127,50640_가뇽_1990년,투수(우투우타),193cm,97kg,650000달러,20KIA
128,50641_장재혁_2001년,투수(우투우타),180cm,86kg,2700만원,0
129,50650_최용준_2001년,투수(우투우타),193cm,97kg,2700만원,0
130,50657_박민_2001년,내야수(우투우타),184cm,84kg,2700만원,20KIA
131,50662_정해영_2001년,투수(우투우타),189cm,98kg,2700만원,20KIA
132,50677_위더마이어_1955년,(우투우타),175cm,85kg,0,20KIA코치
133,50695_유재민_1988년,(우언우타),170cm,78kg,0,20KIA코치
134,50697_윤인득_1987년,(우투우타),178cm,78kg,0,20KIA코치
135,50701_김소중_1987년,(),184cm,80kg,0,20한화코치
136,50702_김연규_1989년,(),179cm,80kg,0,20한화코치
137,50703_서진영_1990년,(),180cm,75kg,0,20한화코치
138,50704_임종찬_2001년,외야수(우투좌타),184cm,85kg,2700만원,20한화
139,50705_강재민_1997년,투수(우투우타),180cm,86kg,2700만원,20한화
140,50706_장웅정_1997년,투수(우투우타),181cm,76kg,2700만원,0
141,50707_최인호_2000년,외야수(우투좌타),178cm,82kg,2700만원,20한화
142,50708_최이경_1996년,투수(좌투좌타),175cm,91kg,2700만원,0
143,50709_박정현_2001년,내야수(우투우타),183cm,85kg,2700만원,20한화
144,50710_김범준_2000년,투수(우투우타),175cm,83kg,2700만원,0
145,50711_김승일_2001년,투수(우언우타),183cm,85kg,2700만원,0
146,50712_김현제_1997년,투수(우투우타),185cm,94kg,2700만원,0
147,50713_박재경_1997년,내야수(우투우타),170cm,75kg,2700만원,0
148,50714_김광명_1997년,외야수(우투좌타),176cm,80kg,2700만원,0
149,50720_남지민_2001년,투수(우투우타),181cm,95kg,2700만원,20한화
150,50726_한승주_2001년,투수(우투우타),184cm,82kg,2700만원,20한화
151,50730_반즈_1986년,외야수(우투우타),188cm,95kg,50000달러,20한화
152,50758_신지후_2001년,투수(우투우타),198cm,105kg,2700만원,20한화
153,50801_김주윤_1982년,(우투우타),171cm,70kg,0,20SK코치
154,50811_길지석_2001년,투수(우투우타),190cm,110kg,2700만원,0
155,50812_박시후_2001년,투수(좌투좌타),182cm,88kg,2700만원,0
156,50813_양선률_1997년,투수(우투우타),186cm,87kg,2700만원,20SK
157,50814_이재성_2001년,투수(좌투좌타),185cm,80kg,2700만원,0
158,50815_킹엄_1991년,투수(우투우타),196cm,106kg,500000달러,20SK
159,50816_김태우_1995년,포수(우투우타),175cm,89kg,2700만원,0
160,50817_김교람_2000년,내야수(우투우타),185cm,86kg,2700만원,0
161,50818_석호준_1997년,내야수(우투우타),181cm,96kg,2700만원,0
162,50819_이거연_1997년,내야수(우투우타),186cm,92kg,2700만원,20SK
163,50820_전의산_2000년,내야수(우투좌타),188cm,98kg,2700만원,0
164,50835_핀토_1994년,투수(우투우타),183cm,88kg,450000달러,20SK
165,50840_현원회_2001년,포수(우투우타),180cm,95kg,2700만원,20SK
166,50848_김성민_2001년,내야수(우투우타),184cm,88kg,2700만원,20SK
167,50854_최지훈_1997년,외야수(우투좌타),178cm,82kg,2700만원,20SK
168,50859_오원석_2001년,투수(좌투좌타),182cm,80kg,2700만원,20SK
169,50868_류효승_1996년,외야수(우투우타),190cm,100kg,2700만원,20SK
170,50900_임형원_2001년,투수(우투우타),183cm,73kg,2700만원,20NC
171,50901_안인산_2001년,투수(우투우타),181cm,95kg,2700만원,20NC
172,50902_김한별_2001년,투수(우투우타),177cm,85kg,2700만원,0
173,50903_한재환_2001년,내야수(우투우타),177cm,89kg,2700만원,0
174,50904_이종준_2001년,투수(우투우타),191cm,93kg,2700만원,0
175,50905_강태경_2001년,투수(우투좌타),188cm,95kg,2700만원,0
176,50906_박영빈_1997년,외야수(우투좌타),182cm,77kg,2700만원,0
177,50911_한건희_2000년,투수(우투우타),188cm,105kg,2700만원,0
178,50912_라이트_1990년,투수(우투우타),198cm,97kg,800000달러,20NC
179,50923_알테어_1991년,외야수(우투우타),196cm,97kg,800000달러,20NC
180,50955_노상혁_1997년,투수(우투우타),190cm,94kg,2700만원,0
181,50990_노학준_1999년,외야수(좌투좌타),182cm,85kg,2700만원,0
182,50992_김태경_2001년,투수(우투우타),188cm,95kg,2700만원,20NC
183,50995_정구범_2000년,투수(좌투좌타),183cm,71kg,2700만원,20NC
184,50996_박시원_2001년,외야수(우투좌타),185cm,85kg,2700만원,20NC
185,60021_이성엽_1988년,내야수(우투좌타),175cm,70kg,0,0
186,60032_김종찬_1987년,외야수(우투우타),188cm,102kg,0,10경찰
187,60036_최석_1987년,외야수(좌투좌타),174cm,79kg,0,0
188,60050_신창명_1988년,외야수(좌투좌타),183cm,79kg,0,0
189,60051_오현민_1987년,투수(우투우타),180cm,83kg,0,10경찰
190,60055_김민겸_1986년,(우투우타),183cm,92kg,0,0
191,60100_백진우_1988년,외야수(우투우타),179cm,79kg,5300만원,10LG
192,60102_이태원_1986년,포수(우투우타),177cm,78kg,0,10LG
193,60105_배민관_1991년,투수(우투우타),185cm,93kg,0,11경찰
194,60106_최우정_1991년,내야수(우투우타),cm,kg,0,0
195,60139_더마트레_1981년,투수(좌투우타),189cm,92kg,0,0
196,60140_신정락_1987년,투수(우언우타),177cm,78kg,12000만원,10LG
197,60146_이승현_1991년,투수(우투우타),181cm,92kg,10000만원,10LG
198,60154_곤잘레스_1983년,투수(우투우타),187cm,98kg,0,0
199,60156_오카모토_1974년,투수(우투우타),183cm,95kg,0,0
200,60164_유경국_1991년,투수(우투우타),177cm,78kg,0,10LG
201,60181_김지용_1988년,투수(우투우타),177cm,81kg,11000만원,10LG
